GRID_ID,Mean_Biomass,SD_Biomass,Mean_SWF,Mean_SHDI,SD_SHDI,Mean_Elev,Mean_Slope,Mean_Aspect,Mean_Temp,Mean_Rs,Mean_P,Mean_Soil_pote,SD_Rs,SD_P,SD_Temp,SD_Soil_pote,SD_Elev,SD_Aspect,SD_Slope,Mean_Bulk_Dens,SD_Bulk_Dens,Mean_Ca_Exg,SD_Ca_Exg,Mean_Clay,SD_Clay,Mean_Sand,SD_Sand,Mean_Silt,SD_Silt
AC-8,577.24,76.75,2.93,1.29,1.11,552.33,32.39,226.09,0,0,0,0,1.04,0.14,0.56,0,79.21,70.3,15.78,1.0857,0.6409,19.46,19.608,26.975,26.974,20.441,18.374,40.203,31.053
AC-9,553.78,133.61,2.72,1.32,1.14,483.36,31.14,215.08,0,0,0,43.44,2.55,0.08,0.42,0.84,44.17,108.38,17.39,1.1086,0.6424,17.802,17.989,26.793,26.874,20.628,17.909,40.179,30.698
AD-12,743.58,61.96,3.26,1.25,1.13,524.79,32.38,201.87,0,0,0,0,2.85,0.06,0.22,0,89.28,77.74,22.66,0,0,0,0,0,0,0,0,0,0
AD-13,689.09,32.1,3.09,1.22,0.95,509.6,34.65,215.24,0,0,0,0,1.61,0.09,0.29,0,59.07,117.33,21.88,0,0,0,0,0,0,0,0,0,0
AD-14,575.22,274.37,4.05,1.36,1.16,452.12,13.79,178.3,16.86,280.25,1.52,47.08,0.62,0.2,0.08,1.57,31.45,66.98,9.21,1.1329,0.6342,18.55,18.338,25.9,26.351,22.392,19.341,39.868,31.092
AD-15,561.74,256.74,5.13,1.41,1.23,385.96,14.15,168.05,16.07,292.11,1.4,46.91,1.57,0.13,0.15,1.79,15.27,103.56,10.22,1.1208,0.6183,16.805,16.622,26.375,27.115,24.039,21.203,38.203,31.399
AD-16,566.47,114.76,1.37,1.3,1.16,390.43,26.1,204.83,16.05,241.38,4.41,47.47,1.61,0.16,0.14,0,29.33,113.45,20.91,1.0622,0.6167,16.418,16.643,26.849,27.504,24.253,21.487,37.473,30.804
AD-18,596.62,224.07,1.79,1.31,0.85,423.52,18.14,206.65,18.68,276.63,0.73,47.7,1.15,0.11,0.18,0.66,27.86,74.27,13.42,1.0967,0.6258,16.512,15.795,26.079,26.957,22.883,19.978,38.985,30.91
AD-19,510.21,250.08,0.63,1.11,0.84,385.4,13.83,190.53,18.1,272.12,2.06,47.78,0.78,0.18,0.2,1.18,21.8,91.42,7.98,1.1127,0.6173,16.164,14.958,26.255,27.674,24.037,21.42,38.465,31.565
AD-20,572.05,275.95,2.6,0.92,0.76,308.73,19.06,147.64,18.84,277.76,1.82,68.22,0.7,0.17,0.12,3.22,33.92,79.09,11.5,1.1064,0.6077,15,14.391,24.607,26.955,23.584,21.086,40.846,32.317
AD-21,500.89,222.4,4.13,1.45,1.23,237.14,20.6,158.58,0,0,0,61.91,2.03,0.29,0.08,5.78,44.35,88.19,15.79,1.0958,0.6048,14.883,14.48,28.317,30.519,21.479,22.229,40.906,33.436
AD-22,499.34,178.83,2.31,1.46,1.17,323.39,41.26,181.44,19.64,269.57,1.47,53.49,3.84,0.21,0.32,13.18,78.38,133.97,26.33,1.0611,0.6145,14.554,14.435,27.903,30.486,21.505,21.614,41.047,33.519
AD-23,554.99,261.9,1.37,1.03,0.86,329.09,25.53,181.24,20.32,285.71,3.29,30.93,0.58,0.15,0.05,1.99,39.54,105.59,15.09,1.0612,0.62,15.04,15.361,27.157,29.952,21.537,21.468,41.718,33.577
AD-24,467.98,201.77,1.49,1.1,0.86,338.16,23.75,194.27,20.31,277.98,1.81,30.07,1.4,0.13,0.04,1.49,45.34,95.81,14.05,1.0825,0.623,15.034,14.985,28.316,30.62,20.717,20.599,41.143,33.347
AD-25,571.72,67.06,1.64,1.04,0.69,313.03,20.55,176,0,0,0,31.8,1.68,0.06,0.17,0.96,25.36,103.36,13.77,0,0,0,0,0,0,0,0,0,0
AE-12,554.31,91.31,9.48,1.45,1.2,458.13,41.73,185.93,17.76,285.36,1.24,0,1.48,0.16,0.41,0,65.37,117.04,21.46,0,0,0,0,0,0,0,0,0,0
AE-13,642.86,178.6,2.41,1.41,1.24,498.72,17.4,199.19,15.69,271.58,2.99,46.98,1.15,0.21,0.34,0.92,29.85,86.16,11.49,1.0977,0.6416,19.77,19.838,25.107,27.066,23.544,20.762,40.278,31.251
AE-14,526.58,186.53,5.07,1.25,1.1,430.66,15.67,209.03,17.3,273.54,3.06,47.9,2.08,0.22,0.23,1.42,32.21,74.07,11.9,1.112,0.628,18.695,18.986,25.949,26.77,22.649,19.671,39.455,30.898
AE-15,548.08,253.55,2.6,1.28,1.13,410.92,11.32,209.78,17.38,295.59,0.84,47.94,0.55,0.08,0.12,1.31,11.83,107.63,7.78,1.1267,0.6148,16.628,16.693,26.978,26.703,23.037,20.176,37.857,30.248
AE-16,564.29,22.71,0.53,1.16,0.8,464.65,16.46,211.24,0,0,0,0,0.5,0.03,0.13,0,20.09,108.88,12.33,0,0,0,0,0,0,0,0,0,0
AE-17,600.11,48.24,0.18,1.32,0.52,458.87,12.58,189.62,0,0,0,0,1.74,0.07,0.25,0,12.38,101.47,9,0,0,0,0,0,0,0,0,0,0
AE-18,536.65,264.48,2.99,1.37,1.05,395,11.41,184.03,18.39,273.49,2.39,54.59,0.99,0.07,0.17,10.63,19.42,89.09,6.97,1.125,0.6165,16.416,15.33,26.012,26.957,24.551,21.801,38.464,31.925
AE-19,551.01,121.56,0.63,1.12,0.94,324.3,22,190.76,17.67,272.27,2.61,67.5,0.68,0.19,0.13,3,29.16,84.41,13.19,1.0481,0.613,15.414,14.795,25.132,27.361,25.605,22.38,39.159,32.286
AE-20,520.17,256.36,3.46,1.43,1.21,273.98,26.86,188.45,19.52,263.48,2.74,63.01,0.59,0.22,0.22,3.57,41.44,90.53,17.69,1.1061,0.6034,14.105,13.377,26.39,28.424,22.647,21.317,40.782,33.069
AE-21,524.98,270.2,5.81,1.56,1.37,194.98,15.97,160.36,18.49,264.76,2.19,64.46,1.66,0.12,0.15,2.85,25.78,113.42,16.16,1.1371,0.6007,16.069,15.8,28.657,30.13,23.888,24.423,38.234,33.114
AE-22,573.49,258.65,3.87,1.51,1.41,254.69,32.28,167.38,20,239.96,0.59,41.64,1.32,0.23,0.11,14.1,35.7,114.7,22.88,1.0827,0.6135,15.068,14.933,28.823,30.461,21.369,21.943,40.182,33.23
AE-25,537.45,177.2,0.87,1.19,0.98,295.67,24.91,190.14,0,0,0,34.44,2.27,0.06,0.11,11.49,22.73,105.27,16.05,1.0673,0.6217,15.47,14.923,26.906,29.497,19.256,19.843,43.683,33.921
AF-10,635.82,14.78,4.51,1.14,1,646.9,31.82,186.25,0,0,0,0,3.45,0.31,0.11,0,69.36,94.83,16.87,0,0,0,0,0,0,0,0,0,0
AF-11,619.5,51.78,8.53,1.32,1.2,524.39,35.06,168.81,0,0,0,0,0.61,0.1,0.27,0,60.67,97.33,18.2,0,0,0,0,0,0,0,0,0,0
AF-12,676.65,55.64,7.62,1.36,1.19,509.32,38.31,247.02,0,0,0,0,1.16,0.18,0.39,0,69.84,89.32,20.06,0,0,0,0,0,0,0,0,0,0
AF-13,636.88,36.43,6.43,1.3,0.99,600.74,22.62,218.93,0,0,0,0,2.02,0.25,0.07,0,53.89,90.8,14.93,0,0,0,0,0,0,0,0,0,0
AF-14,613.07,179.16,6.48,1.39,1.28,504.96,19.14,176.32,0,0,0,41.12,1.52,0.23,0.11,5.18,38.32,75.54,11.72,1.1126,0.6406,19.162,19.832,25.812,27.142,22.454,19.843,39.96,30.913
AF-15,557.23,130.28,3.37,1.42,1.27,471.49,18.29,211.29,0,0,0,46.96,1.62,0.25,0.34,1.78,29.93,103.97,12.17,1.107,0.6252,17.161,17.427,26.155,26.462,22.06,18.751,39.704,30.842
AF-16,1125.39,134.75,1.06,1.29,1.02,470.92,15.72,206.78,0,0,0,48.21,0.97,0.12,0.2,1.65,22.66,119.02,11.09,1.0664,0.6208,16.289,16.837,25.808,25.796,21.252,18.294,40.569,30.645
AF-18,506.67,173.9,1.64,1.37,1.08,390.5,13.06,157.59,0,0,0,52.84,0.95,0.09,0.27,9.47,33.83,45.89,7.02,1.0487,0.6154,15.78,15.365,26.576,28.094,23.587,20.995,39.018,31.788
AF-19,564.22,290.1,1.98,1.36,1.17,351.15,19.25,158.36,19.33,245.14,1.79,69.26,1.41,0.05,0.33,2.2,28.22,104.19,13.11,1.094,0.607,15.122,14.336,26.522,28.829,24.312,22.316,38.976,32.292
AF-20,531.72,277.95,5.11,1.52,1.22,254.23,17.52,145.32,19.02,271.74,2.18,65.52,0.73,0.17,0.52,4.54,33.73,71.21,11.85,1.1111,0.603,14.045,13.412,27.37,29.018,23.797,22.213,38.626,32.473
