GRID_ID,Mean_Biomass,SD_Biomass,Mean_SWF,Mean_SHDI,SD_SHDI,Mean_Elev,Mean_Slope,Mean_Aspect,Mean_Temp,Mean_Rs,Mean_P,Mean_Soil_pote,SD_Rs,SD_P,SD_Temp,SD_Soil_pote,SD_Elev,SD_Aspect,SD_Slope,Mean_Bulk_Dens,SD_Bulk_Dens,Mean_Ca_Exg,SD_Ca_Exg,Mean_Clay,SD_Clay,Mean_Sand,SD_Sand,Mean_Silt,SD_Silt
AO-31,547.62,245.81,3.39,0.9,0.73,285.36,11.16,219.99,22.25,271.35,1.45,69.45,0.54,0.06,0.57,5.38,19.02,130.08,9.39,1.144,0.6137,16.835,15.174,27.623,28.976,16.275,17.18,45.586,34.777
AP-20,498.76,254.27,2.37,1.32,1.06,318.85,13.09,174.41,19.85,263.87,3.32,50.25,0.98,0.11,0.27,19.13,17.22,90.99,10.43,1.1489,0.612,15.857,14.631,26.878,28.267,20.96,20.708,41.978,33.458
AP-21,527.03,256.23,2,1.32,0.91,302,13.36,195.93,19.8,272.06,3.1,33.47,0.44,0.07,0.05,5.05,18.75,95.09,8.95,1.1478,0.6089,15.604,14.248,27.546,29.331,18.31,19.32,44.7,34.629
AP-22,537.61,278.97,1.14,1.25,0.94,305.38,15.85,204.87,20.39,276.35,3.18,43.44,0.66,0.09,0.29,17.77,16.32,110.01,11.43,1.1455,0.6166,14.933,13.546,27.347,28.503,19.042,19.496,43.503,33.824
AP-23,514.61,250.02,2.64,1.49,1.21,278.31,12.62,201.49,19.77,276.45,1.97,67.6,0.57,0.1,0.21,3.18,11.53,98.23,9.33,1.1594,0.6156,14.9,13.547,30.614,30.647,18.607,19.567,41.324,33.467
AP-24,544.07,277.56,6.8,1.1,1,248.65,8.64,178.59,0,0,0,64.9,0.31,0.05,0.4,2.28,10.72,95.77,5.34,1.158,0.6164,15.794,14.016,29.643,30.224,20.731,21.644,40.549,33.18
AP-25,565.45,279.17,10.12,1.28,1.12,231.19,5.83,173.38,21.2,271.9,1.53,68.25,1.8,0.11,0.25,1.29,6.15,96.63,4.05,1.1577,0.6249,16.464,14.522,28.803,30.462,23.893,25.032,38.738,33.296
AP-26,518.7,259.13,3.87,1.23,1.07,224.21,7,178.43,21.03,266.98,2.06,64.93,1.17,0.09,0.07,3.24,7.06,106.35,5.34,1.1579,0.6283,16.674,14.744,27.26,30.298,26.232,27.135,38.328,33.945
AP-27,516.44,262.19,3.72,1.28,1.03,221.38,7.38,164.52,21.08,268.04,2.2,62.31,1.44,0.11,0.06,2.47,13.41,101.13,5.4,1.1502,0.6226,17.037,14.969,26.5,29.964,26.825,27.616,38.91,34.039
AP-28,522.57,263.78,6.38,1.65,1.44,221.45,7.61,152.23,21.61,266.79,1.79,63.62,1.11,0.06,0.26,2.99,13.32,111.37,5.86,1.154,0.6287,16.57,15.426,26.881,30.039,25.045,26.749,40.343,34.502
AP-29,554.7,281.73,8.67,1.72,1.43,229.18,10.02,156.74,21.31,275.88,1.78,64.13,0.54,0.04,0.09,4.03,21.18,114.71,9.41,1.1463,0.6206,17.853,17.118,28.167,30.649,20.888,22.716,42.606,34.889
